     r   ,   Re_Calc  ,  Im_Calc  ,  Mod_Calc  ,   Re_Ex   ,   Im_Ex  ,   Mod_Ex
   2.17000 ,    0.37291 ,   -0.09456 ,    0.38471 ,   -0.18685 ,   -0.13607 ,    0.23115
   2.18000 ,    0.38554 ,   -0.03213 ,    0.38687 ,   -0.17969 ,   -0.14438 ,    0.23051
   2.19000 ,    0.38122 ,    0.03188 ,    0.38255 ,   -0.17346 ,   -0.15121 ,    0.23011
   2.20000 ,    0.36011 ,    0.09265 ,    0.37183 ,   -0.16856 ,   -0.15713 ,    0.23044
   2.21000 ,    0.32367 ,    0.14555 ,    0.35489 ,   -0.16518 ,   -0.16284 ,    0.23195
   2.22000 ,    0.27461 ,    0.18653 ,    0.33197 ,   -0.16330 ,   -0.16902 ,    0.23502
   2.23000 ,    0.21666 ,    0.21241 ,    0.30342 ,   -0.16268 ,   -0.17635 ,    0.23992
   2.24000 ,    0.15431 ,    0.22114 ,    0.26966 ,   -0.16287 ,   -0.18538 ,    0.24677
   2.25000 ,    0.09249 ,    0.21195 ,    0.23125 ,   -0.16329 ,   -0.19653 ,    0.25552
   2.26000 ,    0.03618 ,    0.18546 ,    0.18896 ,   -0.16322 ,   -0.21004 ,    0.26600
   2.27000 ,   -0.00994 ,    0.14364 ,    0.14398 ,   -0.16191 ,   -0.22591 ,    0.27794
   2.28000 ,   -0.04183 ,    0.08966 ,    0.09894 ,   -0.15861 ,   -0.24395 ,    0.29098
   2.29000 ,   -0.05645 ,    0.02773 ,    0.06290 ,   -0.15264 ,   -0.26376 ,    0.30474
   2.30000 ,   -0.05197 ,   -0.03724 ,    0.06394 ,   -0.14344 ,   -0.28474 ,    0.31883
   2.31000 ,   -0.02792 ,   -0.09996 ,    0.10379 ,   -0.13062 ,   -0.30619 ,    0.33288
   2.32000 ,    0.01474 ,   -0.15515 ,    0.15585 ,   -0.11397 ,   -0.32728 ,    0.34656
   2.33000 ,    0.07363 ,   -0.19792 ,    0.21117 ,   -0.09352 ,   -0.34719 ,    0.35957
   2.34000 ,    0.14515 ,   -0.22412 ,    0.26702 ,   -0.06951 ,   -0.36510 ,    0.37166
   2.35000 ,    0.22466 ,   -0.23069 ,    0.32201 ,   -0.04235 ,   -0.38031 ,    0.38266
   2.36000 ,    0.30683 ,   -0.21586 ,    0.37516 ,   -0.01263 ,   -0.39221 ,    0.39242
   2.37000 ,    0.38601 ,   -0.17932 ,    0.42563 ,    0.01894 ,   -0.40042 ,    0.40087
   2.38000 ,    0.45661 ,   -0.12227 ,    0.47270 ,    0.05160 ,   -0.40472 ,    0.40800
   2.39000 ,    0.51348 ,   -0.04737 ,    0.51566 ,    0.08459 ,   -0.40511 ,    0.41384
   2.40000 ,    0.55236 ,    0.04146 ,    0.55391 ,    0.11721 ,   -0.40178 ,    0.41852
   2.41000 ,    0.57010 ,    0.13926 ,    0.58686 ,    0.14885 ,   -0.39508 ,    0.42220
   2.42000 ,    0.56499 ,    0.24039 ,    0.61400 ,    0.17909 ,   -0.38552 ,    0.42509
   2.43000 ,    0.53684 ,    0.33891 ,    0.63487 ,    0.20767 ,   -0.37363 ,    0.42746
   2.44000 ,    0.48707 ,    0.42903 ,    0.64908 ,    0.23453 ,   -0.35998 ,    0.42964
   2.45000 ,    0.41860 ,    0.50550 ,    0.65632 ,    0.25980 ,   -0.34508 ,    0.43195
   2.46000 ,    0.33564 ,    0.56403 ,    0.65634 ,    0.28381 ,   -0.32933 ,    0.43475
