     r   ,   Re_Calc  ,  Im_Calc  ,  Mod_Calc  ,   Re_Ex   ,   Im_Ex  ,   Mod_Ex
   3.31000 ,   -0.91537 ,   -0.36578 ,    0.98575 ,    0.22987 ,   -0.11007 ,    0.25487
   3.32000 ,   -0.74874 ,   -0.65735 ,    0.99635 ,    0.24047 ,   -0.09238 ,    0.25760
   3.33000 ,   -0.50329 ,   -0.89043 ,    1.02282 ,    0.25259 ,   -0.07357 ,    0.26308
   3.34000 ,   -0.19753 ,   -1.04568 ,    1.06417 ,    0.26583 ,   -0.05241 ,    0.27095
   3.35000 ,    0.14557 ,   -1.10928 ,    1.11879 ,    0.27940 ,   -0.02790 ,    0.28079
   3.36000 ,    0.50023 ,   -1.07388 ,    1.18467 ,    0.29217 ,    0.00073 ,    0.29217
   3.37000 ,    0.83954 ,   -0.93911 ,    1.25966 ,    0.30277 ,    0.03382 ,    0.30466
   3.38000 ,    1.13738 ,   -0.71162 ,    1.34166 ,    0.30973 ,    0.07133 ,    0.31784
   3.39000 ,    1.37016 ,   -0.40466 ,    1.42866 ,    0.31155 ,    0.11275 ,    0.33133
   3.40000 ,    1.51840 ,   -0.03720 ,    1.51886 ,    0.30689 ,    0.15713 ,    0.34478
   3.41000 ,    1.56814 ,    0.36733 ,    1.61059 ,    0.29462 ,    0.20314 ,    0.35787
   3.42000 ,    1.51183 ,    0.78257 ,    1.70236 ,    0.27400 ,    0.24912 ,    0.37032
