 Q (1/Ang),S-S  ,S-F  ,F-F  
   4.85000 ,    -0.189655059322689E+00 ,     0.721913624020003E+00 ,    -0.380123679208810E+00 , 
   4.87000 ,    -0.227652289169202E+00 ,     0.687783650236812E+00 ,    -0.393891191714001E+00 , 
   4.89000 ,    -0.265844651757694E+00 ,     0.658227370530061E+00 ,    -0.405910253350013E+00 , 
   4.91000 ,    -0.303173131335848E+00 ,     0.633751165985867E+00 ,    -0.416129141906893E+00 , 
   4.93000 ,    -0.338556408953855E+00 ,     0.614720035830129E+00 ,    -0.424518398960559E+00 , 
   4.95000 ,    -0.370920704785614E+00 ,     0.601352393719809E+00 ,    -0.431070593545980E+00 , 
   4.97000 ,    -0.399229458211508E+00 ,     0.593718299198325E+00 ,    -0.435799637409517E+00 , 
   4.99000 ,    -0.422512062109207E+00 ,     0.591741120464420E+00 ,    -0.438739683315093E+00 , 
   5.01000 ,    -0.439890902715530E+00 ,     0.595202541906928E+00 ,    -0.439943647317352E+00 , 
   5.03000 ,    -0.450606010203824E+00 ,     0.603750750245216E+00 ,    -0.439481403956115E+00 , 
   5.05000 ,    -0.454036696002840E+00 ,     0.616911558561527E+00 ,    -0.437437709793246E+00 , 
   5.07000 ,    -0.449719638693844E+00 ,     0.634102159838890E+00 ,    -0.433909915477243E+00 , 
   5.09000 ,    -0.437362978550691E+00 ,     0.654647142449415E+00 ,    -0.429005529506318E+00 , 
   5.11000 ,    -0.416856088653587E+00 ,     0.677796350757137E+00 ,    -0.422839698043463E+00 , 
   5.13000 ,    -0.388274805042921E+00 ,     0.702744135719309E+00 ,    -0.415532664544941E+00 , 
   5.15000 ,    -0.351882016509596E+00 ,     0.728649513905954E+00 ,    -0.407207270674362E+00 , 
   5.17000 ,    -0.308123633242289E+00 ,     0.754656739210276E+00 ,    -0.397986556111499E+00 , 
   5.19000 ,    -0.257620069626119E+00 ,     0.779915789870431E+00 ,    -0.387991509593053E+00 , 
   5.21000 ,    -0.201153487101275E+00 ,     0.803602284120544E+00 ,    -0.377339017041707E+00 , 
   5.23000 ,    -0.139651145439845E+00 ,     0.824936360376007E+00 ,    -0.366140045178590E+00 , 
   5.25000 ,    -0.741653026517905E-01 ,     0.843200091576226E+00 ,    -0.354498090822126E+00 , 
   5.27000 ,    -0.585018288033017E-02 ,     0.857753047125161E+00 ,    -0.342507917416006E+00 , 
   5.29000 ,     0.640634036384664E-01 ,     0.868045668510423E+00 ,    -0.330254591468162E+00 , 
   5.31000 ,     0.134295155521539E+00 ,     0.873630184664462E+00 ,    -0.317812822785874E+00 , 
   5.33000 ,     0.203540008598839E+00 ,     0.874168962210660E+00 ,    -0.305247234403985E+00 , 
   5.35000 ,     0.270510459843862E+00 ,     0.869439798546264E+00 ,    -0.292609769153391E+00 , 
   5.37000 ,     0.333943898590707E+00 ,     0.859338309091872E+00 ,    -0.279943656627199E+00 , 
   5.39000 ,     0.392643815600779E+00 ,     0.843878000852527E+00 ,    -0.267281336920968E+00 , 
   5.41000 ,     0.445501943867769E+00 ,     0.823187019931033E+00 ,    -0.254645730638855E+00 , 
   5.43000 ,     0.491521724986279E+00 ,     0.797502403150529E+00 ,    -0.242051058367562E+00 , 
   5.45000 ,     0.529839088413145E+00 ,     0.767161882793138E+00 ,    -0.229503797711202E+00 , 
   5.47000 ,     0.559740102003623E+00 ,     0.732593504470809E+00 ,    -0.217003738930755E+00 , 
   5.49000 ,     0.580675134499671E+00 ,     0.694303365989449E+00 ,    -0.204545100149449E+00 , 
   5.51000 ,     0.592269259796764E+00 ,     0.652861824116974E+00 ,    -0.192117664228034E+00 , 
   5.53000 ,     0.594328726452507E+00 ,     0.608888545611477E+00 ,    -0.179707901691553E+00 , 
   5.55000 ,     0.586843411610549E+00 ,     0.563036798163334E+00 ,    -0.167300047378467E+00 , 
   5.57000 ,     0.569985273897098E+00 ,     0.515977385784530E+00 ,    -0.154877102633154E+00 , 
   5.59000 ,     0.544102912579776E+00 ,     0.468382631644919E+00 ,    -0.142421739700453E+00 , 
   5.61000 ,     0.509712428166741E+00 ,     0.420910799683885E+00 ,    -0.129917090316586E+00 , 
   5.63000 ,     0.467484860658260E+00 ,     0.374191325048624E+00 ,    -0.117347406125075E+00 , 
   5.65000 ,     0.418230554062068E+00 ,     0.328811193297183E+00 ,    -0.104698584276542E+00 , 
   5.67000 ,     0.362880858034156E+00 ,     0.285302770337966E+00 ,    -0.919585571985455E-01 , 
   5.69000 ,     0.302467628389929E+00 ,     0.244133340421960E+00 ,    -0.791175508560914E-01 , 
   5.71000 ,     0.238101026848296E+00 ,     0.205696559472440E+00 ,    -0.661682206915639E-01 , 
   5.73000 ,     0.170946146153706E+00 ,     0.170305977050742E+00 ,    -0.531056786812586E-01 , 
   5.75000 ,     0.102198999434851E+00 ,     0.138190723808815E+00 ,    -0.399274284469219E-01 , 
   5.77000 ,     0.330624123977806E-01 ,     0.109493403889951E+00 ,    -0.266332280157907E-01 , 
   5.79000 ,    -0.352776558726842E-01 ,     0.842701749181332E-01 ,    -0.132249015644953E-01 , 
   5.81000 ,    -0.101674862410856E+00 ,     0.624929434208980E-01 ,     0.293877723478296E-03 , 
   5.83000 ,    -0.165043834640038E+00 ,     0.440535521295522E-01 ,     0.139178117107454E-01 , 
   5.85000 ,    -0.224379709129196E+00 ,     0.287697888389764E-01 ,     0.276401873629873E-01 , 
   5.87000 ,    -0.278775488067467E+00 ,     0.163930054795663E-01 ,     0.414530538253988E-01 , 
   5.89000 ,    -0.327436906922824E+00 ,     0.661710166906771E-02 ,     0.553473502165078E-01 , 
   5.91000 ,    -0.369694572040298E+00 ,    -0.911400012881532E-03 ,     0.693129711630393E-01 , 
   5.93000 ,    -0.405013195550822E+00 ,    -0.658247894831424E-02 ,     0.833387609312643E-01 , 
   5.95000 ,    -0.432997825157623E+00 ,    -0.108112445448104E-01 ,     0.974124311944787E-01 , 
