 Q (1/Ang),S-S  ,S-F  ,F-F  
   4.51000 ,    -0.460083672269732E+00 ,     0.107834285353775E+01 ,    -0.513831725293487E-01 , 
   4.53000 ,    -0.419269858845651E+00 ,     0.109157434994419E+01 ,    -0.678882908079335E-01 , 
   4.55000 ,    -0.372161633701239E+00 ,     0.109634339451917E+01 ,    -0.850239534888826E-01 , 
   4.57000 ,    -0.320738551422487E+00 ,     0.109300821166806E+01 ,    -0.102734756855982E+00 , 
   4.59000 ,    -0.267014310088957E+00 ,     0.108205805447986E+01 ,    -0.120943866289310E+00 , 
   4.61000 ,    -0.212982098839555E+00 ,     0.106410128976792E+01 ,    -0.139552666796355E+00 , 
   4.63000 ,    -0.160556371618667E+00 ,     0.103985183336575E+01 ,    -0.158443046750559E+00 , 
   4.65000 ,    -0.111519132956129E+00 ,     0.101011319004080E+01 ,    -0.177479820215679E+00 , 
   4.67000 ,    -0.674710890041677E-01 ,     0.975760702292414E+00 ,    -0.196513621647127E+00 , 
   4.69000 ,    -0.297889247253918E-01 ,     0.937722439279633E+00 ,    -0.215384190844960E+00 , 
   4.71000 ,     0.410218646666895E-03 ,     0.896959187435719E+00 ,    -0.233923956393352E+00 , 
   4.73000 ,     0.222962134385932E-01 ,     0.854444000892933E+00 ,    -0.251961827696056E+00 , 
   4.75000 ,     0.353446773475188E-01 ,     0.811141925949018E+00 ,    -0.269327039097300E+00 , 
   4.77000 ,     0.393467394011258E-01 ,     0.767990055928449E+00 ,    -0.285853076617805E+00 , 
   4.79000 ,     0.344094914702014E-01 ,     0.725878802495277E+00 ,    -0.301381403856210E+00 , 
   4.81000 ,     0.209474255049672E-01 ,     0.685634492668652E+00 ,    -0.315765024949509E+00 , 
   4.83000 ,    -0.334847683196839E-03 ,     0.648003804370254E+00 ,    -0.328871738439512E+00 , 
   4.85000 ,    -0.284679822510988E-01 ,     0.613640354939065E+00 ,    -0.340587009132304E+00 , 
   4.87000 ,    -0.622505681070195E-01 ,     0.583093719057860E+00 ,    -0.350816387303582E+00 , 
   4.89000 ,    -0.100288085101443E+00 ,     0.556801087394830E+00 ,    -0.359487417766165E+00 , 
   4.91000 ,    -0.141036978888742E+00 ,     0.535081707693206E+00 ,    -0.366550995826444E+00 , 
   4.93000 ,    -0.182852572068395E+00 ,     0.518134177955136E+00 ,    -0.371982142591677E+00 , 
   4.95000 ,    -0.224039456131274E+00 ,     0.506036583878562E+00 ,    -0.375780189502494E+00 , 
   4.97000 ,    -0.262902817142182E+00 ,     0.498749437675738E+00 ,    -0.377968366669883E+00 , 
   4.99000 ,    -0.297799569122440E+00 ,     0.496121191415348E+00 ,    -0.378592841314977E+00 , 
   5.01000 ,    -0.327187472160054E+00 ,     0.497896240448507E+00 ,    -0.377721202999407E+00 , 
   5.03000 ,    -0.349671206567309E+00 ,     0.503725058361778E+00 ,    -0.375440474274123E+00 , 
   5.05000 ,    -0.364044276024981E+00 ,     0.513176460814224E+00 ,    -0.371854593009664E+00 , 
   5.07000 ,    -0.369323989154269E+00 ,     0.525750111408327E+00 ,    -0.367082016706000E+00 , 
   5.09000 ,    -0.364783287924689E+00 ,     0.540892530721765E+00 ,    -0.361252153007486E+00 , 
   5.11000 ,    -0.349971658965102E+00 ,     0.558011621778153E+00 ,    -0.354502433857412E+00 , 
   5.13000 ,    -0.324730332475315E+00 ,     0.576492537532574E+00 ,    -0.346974896906549E+00 , 
   5.15000 ,    -0.289198925975212E+00 ,     0.595713283906175E+00 ,    -0.338812819909485E+00 , 
   5.17000 ,    -0.243813857857953E+00 ,     0.615059854459705E+00 ,    -0.330157423755023E+00 , 
   5.19000 ,    -0.189298631586835E+00 ,     0.633940531015214E+00 ,    -0.321144726773106E+00 , 
   5.21000 ,    -0.126646308553907E+00 ,     0.651799017093369E+00 ,    -0.311902626955770E+00 , 
   5.23000 ,    -0.570946574273173E-01 ,     0.668126119315243E+00 ,    -0.302548276096432E+00 , 
   5.25000 ,     0.179050910266105E-01 ,     0.682469684220892E+00 ,    -0.293185833060427E+00 , 
   5.27000 ,     0.967255331019351E-01 ,     0.694442718719394E+00 ,    -0.283904573898061E+00 , 
   5.29000 ,     0.177604701727603E+00 ,     0.703729393650128E+00 ,    -0.274777488625113E+00 , 
   5.31000 ,     0.258691373491677E+00 ,     0.710088977983123E+00 ,    -0.265860317794108E+00 , 
   5.33000 ,     0.338088947798197E+00 ,     0.713357553757865E+00 ,    -0.257191472766419E+00 , 
   5.35000 ,     0.413919084359873E+00 ,     0.713448192173491E+00 ,    -0.248790386451652E+00 , 
   5.37000 ,     0.484347307573173E+00 ,     0.710347721891436E+00 ,    -0.240660427104434E+00 , 
   5.39000 ,     0.547645135308193E+00 ,     0.704113357551963E+00 ,    -0.232788108452195E+00 , 
   5.41000 ,     0.602230384306179E+00 ,     0.694866661151663E+00 ,    -0.225144770048934E+00 , 
   5.43000 ,     0.646707448517339E+00 ,     0.682786299926376E+00 ,    -0.217688184691888E+00 , 
   5.45000 ,     0.679902707922097E+00 ,     0.668099631623066E+00 ,    -0.210364456362098E+00 , 
   5.47000 ,     0.700894189969744E+00 ,     0.651073400906475E+00 ,    -0.203110148271497E+00 , 
   5.49000 ,     0.709034765034847E+00 ,     0.632003845241464E+00 ,    -0.195854576500369E+00 , 
   5.51000 ,     0.703968333359008E+00 ,     0.611206514405136E+00 ,    -0.188522202544188E+00 , 
   5.53000 ,     0.685638636478047E+00 ,     0.589006093487391E+00 ,    -0.181035054068139E+00 , 
   5.55000 ,     0.654290601678463E+00 ,     0.565726587259295E+00 ,    -0.173315131262213E+00 , 
