  Q (1/Ang),       Ga-Ga,       Ga-P ,       Ga-O ,       P-P  ,       P-O  ,       O-O  
 16.9400000,  -0.0620125,  -0.0218010,   0.0166922,   0.0576297,   0.1493908,  -0.0583761
 16.9600000,  -0.0475752,  -0.0101083,   0.0167913,   0.0731489,   0.1554839,  -0.0597972
 16.9800000,  -0.0314939,   0.0042360,   0.0158934,   0.0888322,   0.1614729,  -0.0608426
 17.0000000,  -0.0139403,   0.0207087,   0.0141098,   0.1044709,   0.1672882,  -0.0615141
 17.0200000,   0.0048722,   0.0387479,   0.0115665,   0.1198384,   0.1728580,  -0.0618218
 17.0400000,   0.0246917,   0.0577663,   0.0084011,   0.1346946,   0.1781092,  -0.0617833
 17.0600000,   0.0452324,   0.0771649,   0.0047603,   0.1487907,   0.1829697,  -0.0614231
 17.0800000,   0.0661799,   0.0963465,   0.0007967,   0.1618747,   0.1873701,  -0.0607714
 17.1000000,   0.0871979,   0.1147288,  -0.0033344,   0.1736968,   0.1912454,  -0.0598628
 17.1200000,   0.1079347,   0.1317568,  -0.0074779,   0.1840149,   0.1945369,  -0.0587355
 17.1400000,   0.1280302,   0.1469147,  -0.0114823,   0.1926005,   0.1971937,  -0.0574293
 17.1600000,   0.1471244,   0.1597359,  -0.0152022,   0.1992442,   0.1991742,  -0.0559847
 17.1800000,   0.1648644,   0.1698124,  -0.0185016,   0.2037604,   0.2004474,  -0.0544413
 17.2000000,   0.1809124,   0.1768026,  -0.0212561,   0.2059929,   0.2009938,  -0.0528362
 17.2200000,   0.1949533,   0.1804369,  -0.0233553,   0.2058183,   0.2008062,  -0.0512033
 17.2400000,   0.2067018,   0.1805228,  -0.0247046,   0.2031504,   0.1998904,  -0.0495716
 17.2600000,   0.2159086,   0.1769468,  -0.0252270,   0.1979427,   0.1982649,  -0.0479647
 17.2800000,   0.2223667,   0.1696758,  -0.0248642,   0.1901907,   0.1959612,  -0.0463995
 17.3000000,   0.2259163,   0.1587562,  -0.0235776,   0.1799333,   0.1930232,  -0.0448862
 17.3200000,   0.2264484,   0.1443114,  -0.0213483,   0.1672526,   0.1895061,  -0.0434277
 17.3400000,   0.2239079,   0.1265380,  -0.0181775,   0.1522743,   0.1854760,  -0.0420193
 17.3600000,   0.2182958,   0.1057001,  -0.0140859,   0.1351657,   0.1810078,  -0.0406494
 17.3800000,   0.2096689,   0.0821228,  -0.0091130,   0.1161331,   0.1761843,  -0.0392996
 17.4000000,   0.1981398,   0.0561848,  -0.0033158,   0.0954196,   0.1710941,  -0.0379451
 17.4200000,   0.1838747,   0.0283089,   0.0032323,   0.0733002,   0.1658297,  -0.0365563
 17.4400000,   0.1670908,  -0.0010464,   0.0104440,   0.0500775,   0.1604857,  -0.0350990
 17.4600000,   0.1480512,  -0.0313976,   0.0182193,   0.0260767,   0.1551563,  -0.0335364
 17.4800000,   0.1270610,  -0.0622454,   0.0264483,   0.0016395,   0.1499335,  -0.0318299
 17.5000000,   0.1044601,  -0.0930859,   0.0350133,  -0.0228819,   0.1449051,  -0.0299406
 17.5200000,   0.0806171,  -0.1234196,   0.0437916,  -0.0471312,   0.1401526,  -0.0278310
 17.5400000,   0.0559216,  -0.1527619,   0.0526574,  -0.0707544,   0.1357494,  -0.0254665
 17.5600000,   0.0307762,  -0.1806514,   0.0614854,  -0.0934063,   0.1317589,  -0.0228163
 17.5800000,   0.0055888,  -0.2066592,   0.0701520,  -0.1147570,   0.1282336,  -0.0198555
 17.6000000,  -0.0192361,  -0.2303955,   0.0785389,  -0.1344976,   0.1252138,  -0.0165656
 17.6200000,  -0.0433052,  -0.2515170,   0.0865346,  -0.1523458,   0.1227263,  -0.0129361
 17.6400000,  -0.0662443,  -0.2697320,   0.0940364,  -0.1680512,   0.1207843,  -0.0089648
 17.6600000,  -0.0877056,  -0.2848046,   0.1009529,  -0.1813994,   0.1193872,  -0.0046589
 17.6800000,  -0.1073743,  -0.2965583,   0.1072049,  -0.1922159,   0.1185203,  -0.0000351
 17.7000000,  -0.1249751,  -0.3048772,   0.1127269,  -0.2003689,   0.1181556,   0.0048803
 17.7200000,  -0.1402761,  -0.3097075,   0.1174681,  -0.2057711,   0.1182523,   0.0100513
 17.7400000,  -0.1530941,  -0.3110562,   0.1213932,  -0.2083810,   0.1187580,   0.0154331
 17.7600000,  -0.1632963,  -0.3089899,   0.1244826,  -0.2082033,   0.1196100,   0.0209725
 17.7800000,  -0.1708031,  -0.3036317,   0.1267324,  -0.2052875,   0.1207365,   0.0266090
 17.8000000,  -0.1755878,  -0.2951576,   0.1281540,  -0.1997274,   0.1220587,   0.0322758
 17.8200000,  -0.1776765,  -0.2837915,   0.1287740,  -0.1916576,   0.1234928,   0.0379013
 17.8400000,  -0.1771461,  -0.2698002,   0.1286327,  -0.1812511,   0.1249513,   0.0434107
 17.8600000,  -0.1741213,  -0.2534865,   0.1277836,  -0.1687149,   0.1263460,   0.0487275
 17.8800000,  -0.1687712,  -0.2351835,   0.1262913,  -0.1542860,   0.1275891,   0.0537754
 17.9000000,  -0.1613039,  -0.2152466,   0.1242308,  -0.1382263,   0.1285961,   0.0584800
 17.9200000,  -0.1519611,  -0.1940468,   0.1216850,  -0.1208168,   0.1292870,   0.0627707
 17.9400000,  -0.1410119,  -0.1719633,   0.1187434,  -0.1023527,   0.1295886,   0.0665822
 17.9600000,  -0.1287463,  -0.1493760,   0.1154996,  -0.0831373,   0.1294357,   0.0698561
 17.9800000,  -0.1154673,  -0.1266585,   0.1120500,  -0.0634764,   0.1287728,   0.0725426
 18.0000000,  -0.1014849,  -0.1041712,   0.1084913,  -0.0436724,   0.1275553,   0.0746017
 18.0200000,  -0.0871077,  -0.0822550,   0.1049186,  -0.0240193,   0.1257499,   0.0760042
 18.0400000,  -0.0726369,  -0.0612256,   0.1014237,  -0.0047973,   0.1233356,   0.0767322
 18.0600000,  -0.0583588,  -0.0413681,   0.0980929,   0.0137315,   0.1203040,   0.0767803
 18.0800000,  -0.0445397,  -0.0229327,   0.0950058,   0.0313276,   0.1166590,   0.0761554
 18.1000000,  -0.0314193,  -0.0061309,   0.0922334,   0.0477771,   0.1124166,   0.0748765
 18.1200000,  -0.0192071,   0.0088672,   0.0898371,   0.0628949,   0.1076045,   0.0729747
 18.1400000,  -0.0080777,   0.0219352,   0.0878671,   0.0765267,   0.1022609,   0.0704925
 18.1600000,   0.0018314,   0.0329910,   0.0863622,   0.0885504,   0.0964335,   0.0674827
 18.1800000,   0.0104219,   0.0419976,   0.0853484,   0.0988768,   0.0901783,   0.0640074
 18.2000000,   0.0176357,   0.0489622,   0.0848392,   0.1074496,   0.0835580,   0.0601366
 18.2200000,   0.0234544,   0.0539345,   0.0848351,   0.1142449,   0.0766403,   0.0559463
 18.2400000,   0.0278980,   0.0570051,   0.0853235,   0.1192693,   0.0694965,   0.0515174
 18.2600000,   0.0310232,   0.0583017,   0.0862795,   0.1225587,   0.0621993,   0.0469333
 18.2800000,   0.0329199,   0.0579863,   0.0876663,   0.1241750,   0.0548214,   0.0422783
 18.3000000,   0.0337075,   0.0562502,   0.0894359,   0.1242041,   0.0474335,   0.0376356
 18.3200000,   0.0335307,   0.0533097,   0.0915303,   0.1227519,   0.0401029,   0.0330853
 18.3400000,   0.0325539,   0.0494011,   0.0938826,   0.1199415,   0.0328921,   0.0287031
 18.3600000,   0.0309562,   0.0447747,   0.0964184,   0.1159088,   0.0258571,   0.0245579
 18.3800000,   0.0289258,   0.0396900,   0.0990572,   0.1107996,   0.0190466,   0.0207110
 18.4000000,   0.0266536,   0.0344090,   0.1017143,   0.1047650,   0.0125009,   0.0172145
 18.4200000,   0.0243284,   0.0291914,   0.1043020,   0.0979588,   0.0062512,   0.0141101
 18.4400000,   0.0221307,   0.0242886,   0.1067317,   0.0905334,   0.0003194,   0.0114286
 18.4600000,   0.0202277,   0.0199384,   0.1089156,   0.0826369,  -0.0052822,   0.0091894
 18.4800000,   0.0187688,   0.0163601,   0.1107680,   0.0744104,  -0.0105511,   0.0074001
 18.5000000,   0.0178815,   0.0137497,   0.1122077,   0.0659859,  -0.0154937,   0.0060565
 18.5200000,   0.0176677,   0.0122762,   0.1131588,   0.0574839,  -0.0201253,   0.0051432
 18.5400000,   0.0182016,   0.0120778,   0.1135527,   0.0490120,  -0.0244689,   0.0046341
 18.5600000,   0.0195274,   0.0132589,   0.1133291,   0.0406642,  -0.0285545,   0.0044936
 18.5800000,   0.0216588,   0.0158886,   0.1124374,   0.0325201,  -0.0324178,   0.0046772
 18.6000000,   0.0245788,   0.0199984,   0.1108376,   0.0246449,  -0.0360992,   0.0051330
 18.6200000,   0.0282402,   0.0255825,   0.1085012,   0.0170897,  -0.0396420,   0.0058036
 18.6400000,   0.0325680,   0.0325970,   0.1054113,   0.0098922,  -0.0430917,   0.0066272
 18.6600000,   0.0374610,   0.0409614,   0.1015639,   0.0030779,  -0.0464938,   0.0075396
 18.6800000,   0.0427954,   0.0505604,   0.0969669,  -0.0033386,  -0.0498930,   0.0084758
 18.7000000,   0.0484284,   0.0612456,   0.0916409,  -0.0093522,  -0.0533319,   0.0093717
 18.7200000,   0.0542023,   0.0728393,   0.0856185,  -0.0149653,  -0.0568491,   0.0101660
 18.7400000,   0.0599492,   0.0851377,   0.0789436,  -0.0201859,  -0.0604791,   0.0108013
 18.7600000,   0.0654957,   0.0979155,   0.0716709,  -0.0250262,  -0.0642504,   0.0112263
 18.7800000,   0.0706679,   0.1109305,   0.0638651,  -0.0295003,  -0.0681854,   0.0113961
 18.8000000,   0.0752962,   0.1239286,   0.0555992,  -0.0336226,  -0.0722994,   0.0112740
 18.8200000,   0.0792204,   0.1366495,   0.0469535,  -0.0374066,  -0.0766007,   0.0108323
 18.8400000,   0.0822935,   0.1488318,   0.0380146,  -0.0408629,  -0.0810897,   0.0100525
