       Q,      F(Q)_RMC,  F(Q)_Expt
      8.5199998 ,       0.0979989 ,       0.0664370
      8.5399998 ,       0.1069000 ,       0.0724985
      8.5599998 ,       0.1132978 ,       0.0772365
      8.5799998 ,       0.1172385 ,       0.0806545
      8.5999998 ,       0.1188420 ,       0.0827970
      8.6199998 ,       0.1182939 ,       0.0837456
      8.6399998 ,       0.1158369 ,       0.0836142
      8.6599998 ,       0.1117608 ,       0.0825436
      8.6799998 ,       0.1063907 ,       0.0806947
      8.6999998 ,       0.1000752 ,       0.0782427
      8.7199998 ,       0.0931742 ,       0.0753698
      8.7399998 ,       0.0860467 ,       0.0722587
      8.7599998 ,       0.0790390 ,       0.0690862
      8.7799998 ,       0.0724734 ,       0.0660169
      8.7999998 ,       0.0666384 ,       0.0631980
      8.8199998 ,       0.0617799 ,       0.0607546
      8.8399998 ,       0.0580941 ,       0.0587852
      8.8599998 ,       0.0557220 ,       0.0573599
      8.8799998 ,       0.0547456 ,       0.0565172
      8.8999998 ,       0.0551863 ,       0.0562644
      8.9199998 ,       0.0570052 ,       0.0565769
      8.9399998 ,       0.0601048 ,       0.0573997
      8.9599998 ,       0.0643332 ,       0.0586499
      8.9799998 ,       0.0694891 ,       0.0602194
      8.9999998 ,       0.0753292 ,       0.0619789
      9.0199998 ,       0.0815758 ,       0.0637825
      9.0399998 ,       0.0879261 ,       0.0654726
      9.0599998 ,       0.0940616 ,       0.0668853
      9.0799998 ,       0.0996589 ,       0.0678557
      9.0999998 ,       0.1043991 ,       0.0682237
      9.1199998 ,       0.1079779 ,       0.0678392
      9.1399998 ,       0.1101156 ,       0.0665672
      9.1599998 ,       0.1105649 ,       0.0642920
      9.1799998 ,       0.1091193 ,       0.0609218
      9.1999998 ,       0.1056188 ,       0.0563910
      9.2199998 ,       0.0999556 ,       0.0506636
      9.2399998 ,       0.0920770 ,       0.0437340
      9.2599998 ,       0.0819876 ,       0.0356278
      9.2799998 ,       0.0697493 ,       0.0264019
      9.2999998 ,       0.0554799 ,       0.0161428
      9.3199998 ,       0.0393502 ,       0.0049647
      9.3399998 ,       0.0215795 ,      -0.0069932
      9.3599998 ,       0.0024295 ,      -0.0195704
      9.3799998 ,      -0.0178022 ,      -0.0325892
      9.3999998 ,      -0.0387905 ,      -0.0458594
      9.4199998 ,      -0.0601911 ,      -0.0591832
      9.4399998 ,      -0.0816493 ,      -0.0723602
      9.4599998 ,      -0.1028101 ,      -0.0851929
      9.4799998 ,      -0.1233263 ,      -0.0974915
      9.4999998 ,      -0.1428682 ,      -0.1090786
      9.5199998 ,      -0.1611312 ,      -0.1197940
      9.5399998 ,      -0.1778435 ,      -0.1294981
      9.5599998 ,      -0.1927723 ,      -0.1380755
      9.5799998 ,      -0.2057293 ,      -0.1454372
      9.5999998 ,      -0.2165742 ,      -0.1515226
      9.6199998 ,      -0.2252173 ,      -0.1563002
      9.6399998 ,      -0.2316204 ,      -0.1597677
      9.6599998 ,      -0.2357963 ,      -0.1619511
      9.6799998 ,      -0.2378070 ,      -0.1629034
